experiment,unique_id,age,gender,stimulus_identity_condition,experiment_condition,completeness_acquisition_training,completeness_acquisition_testing,completeness_extinction_training,completeness_extinction_testing,complete_iat_data,mean_correct_acquisition_training,mean_correct_acquisition_testing,mean_correct_extinction_training,mean_correct_extinction_testing,passed_performance_criterion_acquisition_training,passed_performance_criterion_acquisition_testing,passed_performance_criterion_extinction_training,passed_performance_criterion_extinction_testing,passed_iat_performance,self_reported_OEC_effect,self_reported_OEC_effect_controlling_stimulus_identity,self_reported_IR_effect,self_reported_IR_effect_controlling_stimulus_identity,IAT_D2,IAT_D2_controlling_stimulus_identity,behavioral_intentions_OEC,behavioral_intentions_OEC_controlling_stimulus_identity,behavioral_intentions_IR,behavioral_intentions_IR_controlling_stimulus_identity,task_order,iat_block_order,demand_response,reactance_response_1,reactance_response_2,confidence_stim_1,confidence_stim_2,confidence_stim_3,confidence_stim_4,believability_response_1,believability_response_2
3,3_81,25,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,1,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,-1.25,1.25,-5.75,5.75,-0.0375700489689277,0.0375700489689277,both,both,idontknow,idontknow,Explicits First,learning_consistent_first,Not Demand Compliant,no,NA,0,-2,1,2,yes,5
3,3_51,21,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,1,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,-6.75,6.75,-3,3,-0.07293903592848239,0.07293903592848239,brand_B,brand_A,both,both,Implicits First,learning_consistent_first,Not Demand Compliant,no,NA,3,3,3,3,no,NA
3,3_58,30,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_extinction,complete,complete,complete,complete,complete,1,0.75,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-2.25,2.25,0,-0,-0.1613836483242317,0.1613836483242317,brand_B,brand_A,brand_A,brand_B,Explicits First,learning_inconsistent_first,Not Demand Compliant,yes,2,-1,2,-1,4,yes,5
3,3_52,20,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,1,0.875,NA,NA,TRUE,TRUE,NA,NA,TRUE,-2,2,-1.5,1.5,-0.2871425303901335,0.2871425303901335,both,both,both,both,Implicits First,learning_inconsistent_first,Not Demand Compliant,yes,1,0,0,0,0,no,NA
3,3_50,32,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,0.95,0.75,NA,NA,TRUE,TRUE,NA,NA,TRUE,-3.25,3.25,-1.25,1.25,-0.6226477191593356,0.6226477191593356,brand_B,brand_A,brand_B,brand_A,Explicits First,learning_inconsistent_first,Not Demand Compliant,yes,1,3,-2,2,-3,yes,5
3,3_49,37,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,0.25,0.75,NA,NA,FALSE,TRUE,NA,NA,FALSE,-2.25,2.25,2.25,-2.25,NaN,NaN,brand_B,brand_A,both,both,Explicits First,learning_consistent_first,Not Demand Compliant,yes,6,1,1,1,1,no,NA
3,3_28,35,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_extinction,complete,complete,complete,complete,complete,0.95,0.5,1,0.5,TRUE,FALSE,TRUE,FALSE,TRUE,-3.75,3.75,0,-0,-0.5704064178372718,0.5704064178372718,both,both,both,both,Implicits First,learning_inconsistent_first,Not Demand Compliant,yes,7,0,0,0,0,no,NA
3,3_26,24,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_extinction,complete,complete,complete,complete,complete,0.95,1,1,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,-2,2,1,-1,0.03498439735592754,-0.03498439735592754,neither,neither,brand_A,brand_B,Explicits First,learning_inconsistent_first,Not Demand Compliant,yes,2,2,5,0,5,no,NA
3,3_25,26,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_extinction,complete,complete,complete,complete,complete,1,0.875,1,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,0.25,-0.25,0.25,-0.25,-0.04572281260929173,0.04572281260929173,both,both,both,both,Explicits First,learning_consistent_first,Demand Compliant,yes,1,3,0,2,0,no,NA
3,3_17,26,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explicits First,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3_18,30,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,1,0.75,NA,NA,TRUE,TRUE,NA,NA,TRUE,-5.75,5.75,-0.5,0.5,-0.12855988838850582,0.12855988838850582,both,both,both,both,Explicits First,learning_inconsistent_first,Not Demand Compliant,yes,5,3,1,4,0,yes,5
3,3_20,28,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,1,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,-1.25,1.25,1,-1,-0.702980125567842,0.702980125567842,idontknow,idontknow,both,both,Implicits First,learning_inconsistent_first,Not Demand Compliant,no,NA,4,4,4,4,no,NA
3,3_19,18,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,0.35,0.375,NA,NA,FALSE,FALSE,NA,NA,TRUE,0,-0,0,-0,-0.07288383004135401,0.07288383004135401,neither,neither,neither,neither,Implicits First,learning_consistent_first,Not Demand Compliant,no,NA,0,0,0,0,no,NA
3,3_184,24,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,1,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,-4,4,-2,2,-0.5818412960598156,0.5818412960598156,brand_B,brand_A,both,both,Implicits First,learning_inconsistent_first,Not Demand Compliant,yes,3,2,5,2,0,no,NA
3,3_181,28,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,NA,0.95,1,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3_151,37,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,1,0.875,NA,NA,TRUE,TRUE,NA,NA,TRUE,0,-0,0,-0,0.06879127963405504,-0.06879127963405504,idontknow,idontknow,idontknow,idontknow,Implicits First,learning_consistent_first,Not Demand Compliant,no,NA,0,0,0,0,yes,6
3,3_157,35,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_extinction,complete,complete,complete,complete,complete,1,0.75,1,0.875,TRUE,TRUE,TRUE,TRUE,TRUE,0,-0,0,-0,-0.3698826958542247,0.3698826958542247,brand_B,brand_A,brand_A,brand_B,Explicits First,learning_consistent_first,Not Demand Compliant,no,NA,1,1,1,0,no,NA
3,3_159,25,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_extinction,complete,complete,complete,complete,complete,0.35,0.5,0.95,0.375,FALSE,FALSE,TRUE,FALSE,TRUE,8,-8,-2,2,-0.03256421644077179,0.03256421644077179,brand_A,brand_B,brand_B,brand_A,Implicits First,learning_consistent_first,Not Demand Compliant,yes,5,5,3,5,5,yes,9
3,3_150,28,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,1,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,-10,10,0,-0,-0.10181127037755988,0.10181127037755988,brand_B,brand_A,idontknow,idontknow,Explicits First,learning_inconsistent_first,Not Demand Compliant,yes,1,5,5,5,5,yes,9
3,3_152,20,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,1,0.75,NA,NA,TRUE,TRUE,NA,NA,TRUE,5,-5,-5.5,5.5,-0.2292045288754525,0.2292045288754525,brand_A,brand_B,brand_B,brand_A,Implicits First,learning_inconsistent_first,Not Demand Compliant,yes,1,4,4,4,4,yes,6
3,3_149,26,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,0.85,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,0,-0,0,-0,0.24262398715062913,-0.24262398715062913,neither,neither,neither,neither,Explicits First,learning_consistent_first,Not Demand Compliant,yes,5,2,2,2,2,no,NA
3,3_128,29,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_extinction,complete,complete,complete,complete,complete,1,1,1,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,-10,10,-7.5,7.5,-0.2651594916973466,0.2651594916973466,brand_B,brand_A,brand_B,brand_A,Implicits First,learning_inconsistent_first,Not Demand Compliant,yes,1,3,3,4,3,yes,9
3,3_126,25,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,NA,NA,NA,NA,0.95,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3_125,35,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_extinction,complete,complete,complete,complete,complete,0.75,0.625,0.95,0.625,TRUE,FALSE,TRUE,FALSE,TRUE,1.75,-1.75,1.5,-1.5,-0.5342024367159262,0.5342024367159262,brand_B,brand_A,brand_A,brand_B,Explicits First,learning_consistent_first,Not Demand Compliant,yes,2,-3,-1,-2,-2,no,NA
3,3_119,32,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,0.85,0.5,NA,NA,TRUE,FALSE,NA,NA,TRUE,-0.5,0.5,-1.25,1.25,0.24889932268561663,-0.24889932268561663,brand_B,brand_A,brand_B,brand_A,Implicits First,learning_consistent_first,Not Demand Compliant,yes,3,0,0,-1,0,no,NA
3,3_118,21,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,1,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,-6.5,6.5,-6,6,-0.6912665005101841,0.6912665005101841,brand_B,brand_A,brand_B,brand_A,Explicits First,learning_inconsistent_first,Not Demand Compliant,yes,3,3,3,3,3,no,NA
3,3_96,34,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_extinction,complete,complete,complete,complete,complete,0.9,0.625,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,-1,0,-0,0.09751872202593265,-0.09751872202593265,idontknow,idontknow,idontknow,idontknow,Implicits First,learning_inconsistent_first,Not Demand Compliant,yes,7,-5,-5,-5,-5,no,NA
3,3_94,32,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_extinction,complete,complete,complete,complete,complete,1,1,1,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,0.5,-0.5,0,-0,-0.17172033787797336,0.17172033787797336,brand_B,brand_A,brand_A,brand_B,Explicits First,learning_inconsistent_first,Not Demand Compliant,yes,5,0,1,1,0,no,NA
3,3_95,30,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_extinction,complete,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-8.75,8.75,-6.5,6.5,-0.25316100494063487,0.25316100494063487,brand_B,brand_A,brand_B,brand_A,Implicits First,learning_consistent_first,Not Demand Compliant,yes,3,4,1,4,1,yes,7
3,3_93,31,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_extinction,complete,complete,complete,complete,complete,1,1,1,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,-6.25,6.25,-6.5,6.5,0.12874522413761152,-0.12874522413761152,brand_B,brand_A,both,both,Explicits First,learning_consistent_first,Not Demand Compliant,no,NA,2,2,2,2,no,NA
3,3_87,32,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,0.9,0.75,NA,NA,TRUE,TRUE,NA,NA,TRUE,-9.75,9.75,-1,1,-0.5249899762163996,0.5249899762163996,brand_B,brand_A,brand_B,brand_A,Implicits First,learning_consistent_first,Not Demand Compliant,yes,4,5,2,5,1,yes,3
3,3_88,38,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,1,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,-4,4,-6,6,-0.5675136969384198,0.5675136969384198,brand_B,brand_A,brand_B,brand_A,Implicits First,learning_inconsistent_first,Not Demand Compliant,yes,4,0,0,2,2,no,NA
3,3_62,27,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_extinction,complete,complete,complete,complete,complete,1,0.75,1,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,-2,2,0,-0,-0.49309796204303985,0.49309796204303985,brand_B,brand_A,brand_B,brand_A,Explicits First,learning_inconsistent_first,Not Demand Compliant,no,NA,4,3,4,3,no,NA
3,3_53,31,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,0.95,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,-10,10,-10,10,0.645297697162625,-0.645297697162625,brand_B,brand_A,brand_B,brand_A,Explicits First,learning_consistent_first,Not Demand Compliant,no,NA,4,4,4,4,yes,8
3,3_61,27,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_extinction,complete,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-2.75,2.75,-3,3,0.29530675855164423,-0.29530675855164423,both,both,brand_B,brand_A,Explicits First,learning_consistent_first,Not Demand Compliant,yes,4,1,1,3,3,no,NA
3,3_54,35,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3_32,39,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_extinction,complete,complete,complete,complete,complete,1,1,1,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,4,-4,-0.5,0.5,0.35438477893160897,-0.35438477893160897,brand_A,brand_B,brand_B,brand_A,Implicits First,learning_inconsistent_first,Not Demand Compliant,yes,4,1,1,1,1,no,NA
3,3_22,25,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,complete,complete,NA,NA,complete,0.85,0.625,NA,NA,TRUE,FALSE,NA,NA,TRUE,-2.25,2.25,0,-0,-0.09566908441800101,0.09566908441800101,brand_B,brand_A,brand_B,brand_A,Explicits First,learning_inconsistent_first,Not Demand Compliant,yes,3,-3,-1,-3,-1,no,NA
3,3_5,36,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3_75,35,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3_102,32,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3_103,34,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3_182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
