experiment,subject,age,gender,stimulus_identity_condition,extinction_condition,task_order,completeness_acquisition_testing,completeness_acquisition_training,completeness_extinction_testing,completeness_extinction_training,mean_correct_acquisition_training,mean_correct_acquisition_testing,mean_correct_extinction_testing,mean_correct_extinction_training,passed_performance_criterion_acquisition_training,passed_performance_criterion_acquisition_testing,passed_performance_criterion_extinction_testing,passed_performance_criterion_extinction_training,OEC_effect_native,OEC_effect_reverse_scored,IR_effect_native,IR_effect_reverse_scored,complete_iat_data,iat_block_order,passed_iat_performance,IAT_D2_native,IAT_D2_reverse_scored,intentions_response_1_3,intentions_response_2_4,demand_response,reactance_response_1,reactance_response_2,confidence_stim_1,confidence_stim_2,confidence_stim_3,confidence_stim_4,believability_response_1,believability_response_2
1,133,20,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Explicits First,complete,complete,NA,NA,0.3,0.5,NA,NA,FALSE,FALSE,NA,NA,0,-0,0,-0,complete,learning_consistent_first,TRUE,0.05865067131152289,0.05865067131152289,I would try neither Brand,I would try Brands 2 and 4,Not Demand Compliant,no,NA,-1,-2,2,3,no,NA
1,111,20,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Implicits First,complete,complete,complete,complete,0.95,1,0.75,1,TRUE,TRUE,TRUE,TRUE,3.5,-3.5,0,-0,complete,learning_consistent_first,TRUE,0.4139485099022283,0.4139485099022283,I would try Brand 1,I would try neither Brand,Not Demand Compliant,yes,5,3,0,3,0,no,NA
1,72,27,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Implicits First,complete,complete,NA,NA,0.95,1,NA,NA,TRUE,TRUE,NA,NA,6.25,-6.25,5,-5,complete,learning_inconsistent_first,TRUE,0.29570480786335274,0.29570480786335274,I would try neither Brand,I would try neither Brand,Not Demand Compliant,yes,4,3,0,-3,0,no,NA
1,103,29,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Implicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,5.75,-5.75,-1,1,complete,learning_consistent_first,TRUE,-0.12063084081221732,-0.12063084081221732,I would try Brand 1,I would try Brand 4,Not Demand Compliant,yes,5,4,2,4,4,yes,7
1,104,25,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Implicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,2,-2,3,-3,complete,learning_inconsistent_first,TRUE,-0.2469082907242585,-0.2469082907242585,I would try neither Brand,I would try Brand 2,Demand Compliant,yes,2,2,3,2,0,no,NA
1,71,37,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,NA,complete,complete,NA,NA,1,0.75,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,70,33,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Explicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,8.25,-8.25,8.75,-8.75,complete,learning_inconsistent_first,TRUE,-0.7721418071161233,-0.7721418071161233,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,5,4,4,4,4,no,NA
1,47,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Implicits First,complete,complete,complete,complete,0.55,0.75,0.875,1,FALSE,TRUE,TRUE,TRUE,6.5,-6.5,6.25,-6.25,complete,learning_consistent_first,TRUE,0.11720281860213677,0.11720281860213677,I would try Brand 3,I would try Brand 2,Not Demand Compliant,no,NA,5,4,-3,-3,yes,5
1,45,33,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,complete,complete,complete,complete,0.95,1,1,1,TRUE,TRUE,TRUE,TRUE,0,-0,0.25,-0.25,complete,learning_consistent_first,TRUE,-0.38108016681668144,-0.38108016681668144,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,5,1,1,1,1,yes,6
1,37,29,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Explicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,6,-6,6,-6,complete,learning_consistent_first,TRUE,0.7542961190615696,0.7542961190615696,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,3,3,3,3,3,no,NA
1,39,20,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Implicits First,complete,complete,NA,NA,0.1,0.375,NA,NA,FALSE,FALSE,NA,NA,0.5,-0.5,0.25,-0.25,complete,learning_consistent_first,TRUE,0.09899403748018001,0.09899403748018001,I would try Brand 1,I would try Brand 4,Not Demand Compliant,yes,3,-2,-2,-2,-2,yes,1
1,16,24,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Implicits First,complete,complete,complete,complete,1,0.875,1,1,TRUE,TRUE,TRUE,TRUE,4.25,-4.25,-1,1,complete,learning_inconsistent_first,TRUE,0.3879789770651624,0.3879789770651624,I would try Brand 1,I would try Brand 4,Not Demand Compliant,yes,3,4,3,4,3,no,NA
1,14,27,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,complete,complete,complete,complete,0.95,1,0.75,1,TRUE,TRUE,TRUE,TRUE,7,-7,7,-7,complete,learning_inconsistent_first,TRUE,-0.9134592656700511,-0.9134592656700511,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,5,5,5,5,5,no,NA
1,6,36,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Explicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,7.25,-7.25,4.5,-4.5,complete,learning_inconsistent_first,TRUE,-0.31741492311357694,-0.31741492311357694,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,4,4,3,4,4,yes,7
1,7,29,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Implicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,6,-6,5,-5,complete,learning_consistent_first,TRUE,0.5326193862786682,0.5326193862786682,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,1,5,5,5,5,no,NA
1,8,35,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Implicits First,complete,complete,NA,NA,0.9,0.75,NA,NA,TRUE,TRUE,NA,NA,0,-0,0,-0,complete,learning_inconsistent_first,TRUE,0.24433135172055084,0.24433135172055084,I would try neither Brand,I would try neither Brand,Not Demand Compliant,no,NA,0,0,0,0,yes,7
1,5,33,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Explicits First,complete,complete,NA,NA,1,0.875,NA,NA,TRUE,TRUE,NA,NA,8.25,-8.25,9,-9,complete,learning_consistent_first,TRUE,0.36554680245126425,0.36554680245126425,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,1,5,5,5,5,no,NA
1,180,23,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Implicits First,complete,complete,NA,NA,0.95,0.75,NA,NA,TRUE,TRUE,NA,NA,2.25,2.25,2,2,complete,learning_inconsistent_first,TRUE,0.3082346200267999,-0.3082346200267999,I would try Brands 1 and 3,I would try Brand 4,Not Demand Compliant,yes,4,0,0,0,0,no,NA
1,92,38,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition and extinction,Implicits First,complete,complete,complete,complete,1,1,0.75,1,TRUE,TRUE,TRUE,TRUE,-10,-10,-10,-10,complete,learning_inconsistent_first,TRUE,0.7109910107387986,-0.7109910107387986,I would try Brand 3,I would try neither Brand,Not Demand Compliant,yes,5,5,5,5,4,no,NA
1,156,30,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition and extinction,Implicits First,complete,complete,complete,complete,1,1,0.75,1,TRUE,TRUE,TRUE,TRUE,-4.75,-4.75,-4,-4,complete,learning_inconsistent_first,TRUE,0.45778048478836486,-0.45778048478836486,I would try Brand 3,I would try Brand 4,Not Demand Compliant,no,NA,-3,-3,3,3,no,NA
1,155,20,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition and extinction,Implicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,-3.5,-3.5,0,0,complete,learning_consistent_first,TRUE,0.7706976445398044,-0.7706976445398044,I would try Brand 3,I would try Brand 2,Not Demand Compliant,yes,1,5,5,5,5,yes,9
1,153,31,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition and extinction,Explicits First,complete,complete,complete,complete,1,0.625,0.875,0.95,TRUE,FALSE,TRUE,TRUE,0,0,1.5,1.5,complete,learning_consistent_first,TRUE,-0.1491582934889614,0.1491582934889614,I would try Brand 3,I would try Brand 4,Not Demand Compliant,yes,3,4,3,4,3,no,NA
1,147,22,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Implicits First,complete,complete,NA,NA,0.9,0.75,NA,NA,TRUE,TRUE,NA,NA,2.75,2.75,4,4,complete,learning_consistent_first,TRUE,0.08599164181444122,-0.08599164181444122,I would try Brand 3,I would try Brand 4,Not Demand Compliant,yes,5,1,3,2,0,no,NA
1,124,24,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition and extinction,Implicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,-6.75,-6.75,-5.25,-5.25,complete,learning_inconsistent_first,TRUE,0.06532370726536757,-0.06532370726536757,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,3,3,1,3,1,no,NA
1,113,28,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Explicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,-0.75,-0.75,-1,-1,complete,learning_consistent_first,TRUE,0.3811529295782954,-0.3811529295782954,I don't know,I would try Brand 4,Not Demand Compliant,no,NA,2,1,3,1,no,NA
1,115,30,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Implicits First,complete,complete,NA,NA,1,0.75,NA,NA,TRUE,TRUE,NA,NA,3,3,0,0,complete,learning_consistent_first,TRUE,0.03649150197258093,-0.03649150197258093,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,5,-2,-2,-2,0,yes,3
1,114,26,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Explicits First,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,91,26,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition and extinction,Implicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,-0.25,-0.25,-0.75,-0.75,complete,learning_consistent_first,TRUE,0.22522305756464006,-0.22522305756464006,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,1,0,0,0,0,yes,9
1,84,34,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Implicits First,complete,complete,NA,NA,0.95,0.75,NA,NA,TRUE,TRUE,NA,NA,2.5,2.5,0,0,complete,learning_inconsistent_first,TRUE,0.2490974809319637,-0.2490974809319637,I don't know,I don't know,Not Demand Compliant,no,NA,-5,-5,-5,-5,no,NA
1,82,20,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Explicits First,complete,complete,NA,NA,1,0.5,NA,NA,TRUE,FALSE,NA,NA,6,6,-10,-10,complete,learning_inconsistent_first,TRUE,0.43137575809168216,-0.43137575809168216,I would try Brand 1,I would try Brand 4,Not Demand Compliant,yes,1,-4,5,-4,5,no,NA
1,83,27,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Implicits First,complete,complete,NA,NA,0.95,1,NA,NA,TRUE,TRUE,NA,NA,0.25,0.25,0.25,0.25,complete,learning_consistent_first,TRUE,-0.44270928053090614,0.44270928053090614,I don't know,I would try neither Brand,Not Demand Compliant,yes,5,0,0,0,0,no,NA
1,89,34,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition and extinction,Explicits First,complete,complete,complete,complete,1,1,0.75,0.95,TRUE,TRUE,TRUE,TRUE,-2,-2,0,0,complete,learning_consistent_first,TRUE,0.10676295510208236,-0.10676295510208236,I would try Brand 3,I would try Brands 2 and 4,Not Demand Compliant,yes,2,2,0,2,0,yes,8
1,57,33,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition and extinction,Explicits First,complete,complete,complete,complete,1,1,0.75,1,TRUE,TRUE,TRUE,TRUE,-8.5,-8.5,-6,-6,complete,learning_consistent_first,TRUE,-0.3810669728035029,0.3810669728035029,I would try Brand 3,I would try Brand 4,Not Demand Compliant,yes,5,5,4,5,4,yes,5
1,52,23,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Implicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,-4.25,-4.25,-1.75,-1.75,complete,learning_inconsistent_first,TRUE,0.5498760814340268,-0.5498760814340268,I would try Brand 3,I would try Brand 4,Not Demand Compliant,yes,3,4,2,4,2,no,NA
1,18,38,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Explicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,-10,-10,0,0,complete,learning_inconsistent_first,TRUE,0.8745084571391061,-0.8745084571391061,I would try Brand 3,I would try Brands 2 and 4,Not Demand Compliant,yes,2,5,0,5,0,yes,9
1,49,33,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Explicits First,complete,complete,NA,NA,0.8,0.5,NA,NA,TRUE,FALSE,NA,NA,4.75,4.75,2.25,2.25,complete,learning_consistent_first,TRUE,0.272284691662757,-0.272284691662757,I don't know,I would try Brand 2,Not Demand Compliant,yes,3,-3,-2,-2,0,no,NA
1,50,28,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Explicits First,complete,complete,NA,NA,1,0.75,NA,NA,TRUE,TRUE,NA,NA,-3.75,-3.75,2,2,complete,learning_inconsistent_first,TRUE,0.4855342071860993,-0.4855342071860993,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,1,4,0,3,4,yes,6
1,27,18,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition and extinction,Implicits First,complete,complete,complete,complete,0.65,1,0.375,0.6,FALSE,TRUE,FALSE,FALSE,2.75,2.75,1.25,1.25,complete,learning_consistent_first,TRUE,-0.25756219682370385,0.25756219682370385,I would try Brand 1,I would try Brand 4,Not Demand Compliant,no,NA,4,3,2,4,no,NA
1,17,31,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Explicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,-6,-6,-6,-6,complete,learning_consistent_first,TRUE,-0.4577163366036917,0.4577163366036917,I would try Brand 3,I would try Brand 4,Not Demand Compliant,yes,1,3,3,3,3,no,NA
1,28,34,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition and extinction,Implicits First,complete,complete,complete,complete,1,0.75,0.75,1,TRUE,TRUE,TRUE,TRUE,8,8,6,6,complete,learning_inconsistent_first,TRUE,-0.002153890453079864,0.002153890453079864,I would try Brand 1,I don't know,Not Demand Compliant,yes,3,2,2,2,2,yes,8
1,19,35,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Implicits First,complete,complete,NA,NA,0.95,0.625,NA,NA,TRUE,FALSE,NA,NA,0.5,0.5,5.5,5.5,complete,learning_consistent_first,TRUE,0.001965255877257488,-0.001965255877257488,I would try Brands 1 and 3,I would try Brand 2,Not Demand Compliant,no,NA,4,5,4,4,yes,6
1,182,32,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Explicits First,complete,complete,NA,NA,0.95,1,NA,NA,TRUE,TRUE,NA,NA,-8.25,-8.25,-7.5,-7.5,complete,learning_inconsistent_first,TRUE,0.8296184972181166,-0.8296184972181166,I would try Brand 3,I would try Brand 4,Not Demand Compliant,yes,1,4,3,4,3,yes,7
1,160,27,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition and extinction,Implicits First,complete,complete,complete,complete,0.9,1,0.75,1,TRUE,TRUE,TRUE,TRUE,-0.5,-0.5,0.5,0.5,complete,learning_inconsistent_first,TRUE,-0.31240278087046097,0.31240278087046097,I would try neither Brand,I would try neither Brand,Not Demand Compliant,yes,6,3,2,3,4,yes,7
1,158,36,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition and extinction,Explicits First,complete,complete,complete,complete,1,1,0.875,1,TRUE,TRUE,TRUE,TRUE,-6,-6,-3.75,-3.75,complete,learning_inconsistent_first,TRUE,-0.24927153710259414,0.24927153710259414,I would try Brand 3,I would try Brand 4,Not Demand Compliant,yes,3,3,2,3,3,yes,6
1,159,22,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition and extinction,Implicits First,complete,complete,complete,complete,0.95,1,0.75,1,TRUE,TRUE,TRUE,TRUE,-7.75,-7.75,-4.75,-4.75,complete,learning_consistent_first,TRUE,-0.07955285808754166,0.07955285808754166,I would try Brand 3,I would try Brand 4,Not Demand Compliant,yes,7,2,2,3,4,yes,8
1,157,37,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition and extinction,Explicits First,complete,complete,complete,complete,0.95,0.875,0.75,1,TRUE,TRUE,TRUE,TRUE,-5,-5,-1.25,-1.25,complete,learning_consistent_first,TRUE,-0.5044119253276409,0.5044119253276409,I would try Brand 3,I would try Brand 4,Demand Compliant,yes,1,-3,0,0,0,no,NA
1,150,34,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Explicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,-6.5,-6.5,-4,-4,complete,learning_inconsistent_first,TRUE,-0.004281081523526603,0.004281081523526603,I would try Brand 3,I would try Brand 4,Not Demand Compliant,yes,3,5,1,5,2,yes,7
1,152,35,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Implicits First,complete,complete,NA,NA,0.7,0.625,NA,NA,FALSE,FALSE,NA,NA,0,0,0,0,complete,learning_inconsistent_first,TRUE,0.1970468822454305,-0.1970468822454305,I would try neither Brand,I would try neither Brand,Not Demand Compliant,yes,9,5,5,5,5,no,NA
1,96,24,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition and extinction,Implicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,-4.5,-4.5,-3.5,-3.5,complete,learning_inconsistent_first,TRUE,0.27676256463475313,-0.27676256463475313,I would try Brand 3,I would try Brand 4,Not Demand Compliant,yes,2,3,2,3,2,no,NA
1,95,33,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition and extinction,Implicits First,complete,complete,complete,complete,0.95,1,1,1,TRUE,TRUE,TRUE,TRUE,-2.5,-2.5,2.5,2.5,complete,learning_consistent_first,TRUE,0.11111435924818766,-0.11111435924818766,I would try Brand 3,I would try Brand 2,Not Demand Compliant,yes,1,2,2,2,2,yes,9
1,117,20,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Explicits First,complete,complete,NA,NA,0.95,0.875,NA,NA,TRUE,TRUE,NA,NA,-7.25,-7.25,-2.25,-2.25,complete,learning_consistent_first,TRUE,0.2352984635042938,-0.2352984635042938,I would try Brand 3,I would try Brand 4,Not Demand Compliant,yes,7,4,3,4,2,yes,7
1,120,25,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Implicits First,complete,complete,NA,NA,0.9,0.75,NA,NA,TRUE,TRUE,NA,NA,1,1,-0.5,-0.5,complete,learning_inconsistent_first,TRUE,0.4882540366260964,-0.4882540366260964,I would try Brand 3,I would try Brand 4,Not Demand Compliant,yes,4,1,1,0,1,no,NA
1,125,29,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition and extinction,Explicits First,complete,complete,complete,complete,0.9,0.5,0.75,1,TRUE,FALSE,TRUE,TRUE,0,0,0,0,complete,learning_consistent_first,TRUE,0.34686984861541315,-0.34686984861541315,I would try neither Brand,I would try Brands 2 and 4,Not Demand Compliant,yes,5,5,5,5,5,no,NA
1,118,20,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Explicits First,complete,complete,NA,NA,1,0.75,NA,NA,TRUE,TRUE,NA,NA,-10,-10,0,0,complete,learning_inconsistent_first,TRUE,0.2882750596214646,-0.2882750596214646,I would try neither Brand,I would try neither Brand,Not Demand Compliant,yes,4,1,5,5,5,no,NA
1,119,31,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Implicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,0,0,0,0,complete,learning_consistent_first,TRUE,0.4749278968078202,-0.4749278968078202,I would try neither Brand,I would try neither Brand,Not Demand Compliant,yes,5,3,3,3,3,no,NA
1,86,20,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Explicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,-7,-7,-1.75,-1.75,complete,learning_inconsistent_first,TRUE,0.2806646438644018,-0.2806646438644018,I would try Brand 3,I would try Brand 4,Not Demand Compliant,yes,3,3,4,4,3,no,NA
1,93,23,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition and extinction,Explicits First,complete,complete,complete,complete,1,1,0.75,1,TRUE,TRUE,TRUE,TRUE,-7,-7,-5.75,-5.75,complete,learning_consistent_first,TRUE,-0.10897638723463347,0.10897638723463347,I would try Brand 3,I would try Brands 2 and 4,Not Demand Compliant,yes,2,4,4,4,4,yes,3
1,88,39,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,NA,NA,complete,NA,NA,0.8,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,85,29,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Explicits First,complete,complete,NA,NA,0.9,1,NA,NA,TRUE,TRUE,NA,NA,0,0,0,0,complete,learning_consistent_first,TRUE,0.6595351206970874,-0.6595351206970874,I would try Brands 1 and 3,I would try Brand 2,Not Demand Compliant,yes,5,-5,0,-5,0,no,NA
1,56,31,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Implicits First,complete,complete,NA,NA,0.65,0.875,NA,NA,FALSE,TRUE,NA,NA,-7.75,-7.75,7.5,7.5,complete,learning_inconsistent_first,TRUE,0.26979380750319676,-0.26979380750319676,I would try Brand 3,I would try Brand 2,Demand Compliant,yes,1,5,4,5,3,yes,9
1,55,28,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Implicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,-3.75,-3.75,1.5,1.5,complete,learning_consistent_first,TRUE,0.17618993125803661,-0.17618993125803661,I would try Brand 3,I would try neither Brand,Not Demand Compliant,yes,3,3,-1,3,0,no,NA
1,62,31,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition and extinction,Explicits First,complete,complete,complete,complete,0.7,1,0.75,1,FALSE,TRUE,TRUE,TRUE,-4.25,-4.25,-9,-9,complete,learning_inconsistent_first,TRUE,0.4805826464329733,-0.4805826464329733,I would try Brand 3,I would try Brand 4,Not Demand Compliant,yes,8,5,5,5,5,no,NA
1,63,23,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition and extinction,Implicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,-4,-4,-4,-4,complete,learning_consistent_first,TRUE,-0.5221037496670254,0.5221037496670254,I would try Brand 3,I would try Brand 4,Not Demand Compliant,yes,5,5,5,5,5,no,NA
1,61,27,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition and extinction,Explicits First,complete,complete,complete,complete,1,0.625,1,0.95,TRUE,FALSE,TRUE,TRUE,0,0,-1,-1,complete,learning_consistent_first,TRUE,0.14960637942455776,-0.14960637942455776,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,2,0,0,0,0,no,NA
1,53,29,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Explicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,-10,-10,-10,-10,complete,learning_consistent_first,TRUE,0.12014133839087099,-0.12014133839087099,I would try Brand 3,I would try Brand 4,Not Demand Compliant,yes,4,5,5,5,5,yes,9
1,54,34,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Explicits First,complete,complete,NA,NA,0.65,0.5,NA,NA,FALSE,FALSE,NA,NA,0,0,2.5,2.5,complete,learning_inconsistent_first,TRUE,-0.07618556991458691,0.07618556991458691,I would try Brand 1,I would try neither Brand,Not Demand Compliant,yes,2,3,5,3,4,yes,5
1,32,24,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition and extinction,Implicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,-7.5,-7.5,6.5,6.5,complete,learning_inconsistent_first,TRUE,0.21061620667439118,-0.21061620667439118,I would try Brand 3,I would try Brands 2 and 4,Not Demand Compliant,yes,1,5,3,5,2,yes,5
1,30,30,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition and extinction,Explicits First,complete,complete,complete,complete,1,1,0.75,1,TRUE,TRUE,TRUE,TRUE,-4,-4,-3,-3,complete,learning_inconsistent_first,TRUE,0.7479067112549858,-0.7479067112549858,I would try Brand 3,I would try Brand 4,Not Demand Compliant,yes,1,5,3,5,3,no,NA
1,22,23,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Explicits First,complete,complete,NA,NA,0.35,0.5,NA,NA,FALSE,FALSE,NA,NA,0,0,1.25,1.25,complete,learning_inconsistent_first,FALSE,0.19414829525504054,-0.19414829525504054,I would try neither Brand,I would try Brand 2,Not Demand Compliant,yes,4,0,4,0,4,yes,7
1,21,37,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Explicits First,complete,complete,NA,NA,0.9,1,NA,NA,TRUE,TRUE,NA,NA,-2,-2,0,0,complete,learning_consistent_first,TRUE,-0.16264170238564035,0.16264170238564035,I would try Brand 3,I would try Brands 2 and 4,Not Demand Compliant,yes,7,1,1,1,1,yes,5
1,24,33,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition only,Implicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,-1.75,-1.75,2.5,2.5,complete,learning_inconsistent_first,TRUE,0.013833329603510455,-0.013833329603510455,I would try Brand 3,I would try Brand 2,Not Demand Compliant,no,NA,3,3,3,3,no,NA
