subject;Age;Gender;training_condition;task_order;training_performance;stimulus_identity;Outcome_1_Pos_Neg;Outcome_1_Good_Bad;Outcome_1_Pleasant_Unpleasant;Outcome_1_Like_Dislike;Target_1_Pos_Neg;Target_1_Good_Bad;Target_1_Pleasant_Unpleasant;Target_1_Like_Dislike;Outcome_2_Pos_Neg;Outcome_2_Good_Bad;Outcome_2_Pleasant_Unpleasant;Outcome_2_Like_Dislike;Target_2_Pos_Neg;Target_2_Good_Bad;Target_2_Pleasant_Unpleasant;Target_2_Like_Dislike;Mean_Outcome_1;Mean_Outcome_2;Mean_Target_1;Mean_Target_2;OEC_Effect;IR_Effect;Transformed_OEC_Effect;Transformed_IR_Effect;Intentions_1_3_response;Intentions_2_4_response;stim_1_confidence;stim_2_confidence;stim_3_confidence;stim_4_confidence;Demand_response;Demand_recoded;reactance_question_1;reactance_question_2;IAT_D2;IAT_order;Reverse_Scored_IAT_D2;Transformed_IAT_D2
111;22;Androgynous;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-1;-1;-1;-1; 2; 2; 2; 2; 4; 4; 4; 5; 4; 5; 4; 4;-1,00; 4,25; 2,00; 4,25; -5,25; -2,25;  5,25;  2,25;I would try Brand 3;I would try Brand 2; 5; 5; 5; 5;What I learned during the experiment;Not Demand Compliant;yes;6;-0,684394755;Learning_Consistent_First;-0,684394755; 0,684394755
112;25;F;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 3; 3; 3; 2; 1; 1; 1; 1; 2; 2; 2; 2; 2; 2; 2; 2; 2,75; 2,00; 1,00; 2,00;  0,75; -1,00; -0,75;  1,00;I would try Brands 1 and 3;I would try Brands 2 and 4; 1; 2; 1; 2;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt; 0,031851047;Learning_Inconsistent_First;-0,031851047; 0,031851047
114;32;F;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00;  0,00;  0,00;  0,00;I don't know;I don't know; 2; 2; 2; 2;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt; 0,202954329;Learning_Inconsistent_First;-0,202954329;-0,202954329
120;24;F;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00;  0,00;  0,00;  0,00;I would try Brand 1;I would try Brand 2;-5;-1;-5;-1;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;9=I very strongly resisted your attempts to influence how I felt; 0,131616090;Learning_Inconsistent_First;-0,131616090; 0,131616090
121;26;F;Acquisition_Only;Explicits First;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 3; 3; 3; 0; 3; 3; 3; 3; 3; 0; 3; 3; 5; 5; 5; 5; 2,25; 2,25; 3,00; 5,00;  0,00; -2,00;  0,00; -2,00;I would try Brand 3;I would try Brand 4; 5; 5; 5; 5;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;-0,272752088;Learning_Consistent_First;-0,272752088;-0,272752088
123;22;F;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;-1; 1;-1;-1; 0; 0; 0; 0;-2;-2;-2;-2; 0; 0; 0; 0;-0,50;-2,00; 0,00; 0,00;  1,50;  0,00;  1,50;  0,00;I would try Brands 1 and 3;I would try Brands 2 and 4; 0; 1; 0; 1;What I learned during the experiment;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all; 0,843997671;Learning_Consistent_First; 0,843997671; 0,843997671
124;29;M;Acquisition_Only;Implicits First;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 3; 3; 3; 3; 2; 2; 2; 2;-3;-3;-3;-3;-2;-2;-2;-2; 3,00;-3,00; 2,00;-2,00;  6,00;  4,00;  6,00;  4,00;I would try Brand 1;I would try Brand 2; 1; 2; 1; 2;What I learned during the experiment;Not Demand Compliant;yes;4; 0,328971683;Learning_Inconsistent_First;-0,328971683;-0,328971683
125;25;M;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-2;-2; 1;-3; 1; 1; 1; 1; 1; 1; 0; 1;-1; 0;-1; 0;-1,50; 0,75; 1,00;-0,50; -2,25;  1,50;  2,25; -1,50;I would try Brands 1 and 3;I would try Brands 2 and 4; 1; 2; 1; 1;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;3;-0,017663671;Learning_Consistent_First;-0,017663671; 0,017663671
127;19;M;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-3;-3;-3;-3; 0;-1;-1; 0; 2; 3; 2; 2; 1; 1; 1; 1;-3,00; 2,25;-0,50; 1,00; -5,25; -1,50;  5,25;  1,50;I would try Brand 3;I would try Brand 4; 3;-4; 1; 2;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt; 0,057786635;Learning_Consistent_First; 0,057786635;-0,057786635
128;38;F;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-1;-2;-2;-3; 2; 2; 2; 2; 3; 3; 3; 3;-2;-3;-3;-3;-2,00; 3,00; 2,00;-2,75; -5,00;  4,75;  5,00; -4,75;I would try Brand 1;I would try neither Brand; 2; 2; 2; 2;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all; 0,198762054;Learning_Inconsistent_First;-0,198762054; 0,198762054
129;25;F;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;-3;-3;-2;-2;-1;-1;-1; 0; 1; 1; 1; 1; 2; 2; 2; 2;-2,50; 1,00;-0,75; 2,00; -3,50; -2,75; -3,50; -2,75;I would try Brand 3;I would try Brand 4; 3; 0;-1; 2;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt; 0,294012297;Learning_Consistent_First; 0,294012297; 0,294012297
130;25;M;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 5; 5; 5; 5; 5; 5; 5; 5;-5;-5;-5;-5;-5;-5;-5;-5; 5,00;-5,00; 5,00;-5,00; 10,00; 10,00; 10,00; 10,00;I would try Brand 1;I would try Brand 2; 4; 4; 4; 4;What I learned during the experiment;Not Demand Compliant;yes;3; 0,139150492;Learning_Inconsistent_First;-0,139150492;-0,139150492
131;37;M;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 0; 0; 0; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 1,00; 0,00;  0,00;  1,00;  0,00;  1,00;I would try Brands 1 and 3;I would try Brands 2 and 4;-2; 0;-2;-2;What I learned during the experiment;Not Demand Compliant;yes;2; 0,157676137;Learning_Consistent_First; 0,157676137; 0,157676137
132;29;F;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 0; 0; 0; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 0,00; 2,00; 2,00; 2,00; -2,00;  0,00; -2,00;  0,00;I don't know;I would try Brands 2 and 4; 5; 5; 5; 5;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt; 0,167366037;Learning_Inconsistent_First;-0,167366037;-0,167366037
133;31;F;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00;  0,00;  0,00;  0,00;I would try Brands 1 and 3;I would try Brands 2 and 4; 5; 5; 5; 5;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;9=I very strongly resisted your attempts to influence how I felt; 0,170613105;Learning_Consistent_First; 0,170613105;-0,170613105
134;37;M;Acquisition_Only;Explicits First;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-1;-1;-1;-1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;-1,00; 0,00; 0,00; 0,00; -1,00;  0,00;  1,00;  0,00;I would try Brand 3;I would try neither Brand; 3; 4; 3; 4;What I learned during the experiment;Not Demand Compliant;yes;7; 0,417259541;Learning_Inconsistent_First;-0,417259541; 0,417259541
135;36;M;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-2;-3;-2;-2;-2;-2; 0; 0; 2; 2; 3; 2; 0; 2; 0; 0;-2,25; 2,25;-1,00; 0,50; -4,50; -1,50;  4,50;  1,50;I would try Brand 3;I would try Brand 4; 2;-2; 2; 0;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;-0,067730072;Learning_Consistent_First;-0,067730072; 0,067730072
136;37;M;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-5;-5;-5;-5;-3;-3;-3;-3; 5; 5; 5; 5; 5; 5; 5; 5;-5,00; 5,00;-3,00; 5,00;-10,00; -8,00; 10,00;  8,00;I would try Brand 3;I would try Brand 4;-5; 5; 5; 5;What I learned during the experiment;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all; 0,864147981;Learning_Inconsistent_First;-0,864147981; 0,864147981
137;37;F;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0;-2; 0;-1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;-0,75; 0,00; 0,00; 0,00; -0,75;  0,00; -0,75;  0,00;I would try Brand 3;I would try neither Brand;-2; 0; 0; 0;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt; 0,392971602;Learning_Consistent_First; 0,392971602; 0,392971602
139;26;M;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0,00; 0,25; 0,00; 0,00; -0,25;  0,00; -0,25;  0,00;I don't know;I would try Brand 4; 1; 1; 1; 1;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;-0,202145515;Learning_Consistent_First;-0,202145515;-0,202145515
143;35;M;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-1; 1;-2; 0; 4; 5; 4; 5; 0; 1; 0; 0; 0; 2; 2; 3;-0,50; 0,25; 4,50; 1,75; -0,75;  2,75;  0,75; -2,75;I would try Brand 1;I would try Brand 2; 0; 5;-2; 2;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt; 0,089042759;Learning_Consistent_First; 0,089042759;-0,089042759
144;36;M;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-1; 0;-1;-1;-1;-1;-1;-1; 1; 1; 1; 1; 2; 3; 2; 3;-0,75; 1,00;-1,00; 2,50; -1,75; -3,50;  1,75;  3,50;I would try Brand 3;I would try Brand 4; 2; 2; 2; 2;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;6; 0,155141577;Learning_Inconsistent_First;-0,155141577; 0,155141577
146;27;F;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 1; 1; 1; 1; 0; 0; 0; 0;-1; 1;-1;-1;-1; 0; 0; 0; 1,00;-0,50; 0,00;-0,25;  1,50;  0,25;  1,50;  0,25;I would try Brand 1;I would try Brand 2; 5; 5; 4; 4;What I learned during the experiment;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;-0,270466042;Learning_Inconsistent_First; 0,270466042; 0,270466042
147;29;F;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 3; 3; 3; 3; 4; 2; 3; 4; 2; 2; 3; 2; 2; 2; 2; 3; 3,00; 2,25; 3,25; 2,25;  0,75;  1,00;  0,75;  1,00;I would try neither Brand;I would try Brands 2 and 4; 4; 4; 3; 3;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;7; 0,847276513;Learning_Consistent_First; 0,847276513; 0,847276513
149;29;F;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-5;-4;-4;-5;-3;-3;-3;-3; 5; 5;-5; 5; 4; 5; 5; 4;-4,50; 2,50;-3,00; 4,50; -7,00; -7,50;  7,00;  7,50;I would try Brand 3;I would try Brand 4;-3; 1; 4; 3;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;-0,072726397;Learning_Consistent_First;-0,072726397; 0,072726397
150;31;M;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 2; 2; 2; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 2,00; 0,00;  0,00;  2,00;  0,00; -2,00;I would try Brand 3;I would try Brand 2; 0; 2; 0; 0;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;7; 0,086063596;Learning_Inconsistent_First;-0,086063596; 0,086063596
150;31;M;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 2; 2; 2; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 2,00; 0,00;  0,00;  2,00;  0,00; -2,00;I would try Brand 3;I would try Brand 2; 0; 2; 0; 0;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;7; 0,086063596;Learning_Inconsistent_First;-0,086063596; 0,086063596
150;31;M;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 2; 2; 2; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 2,00; 0,00;  0,00;  2,00;  0,00; -2,00;I would try Brand 3;I would try Brand 2; 0; 2; 0; 0;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;7; 0,086063596;Learning_Inconsistent_First;-0,086063596; 0,086063596
150;31;M;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 2; 2; 2; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 2,00; 0,00;  0,00;  2,00;  0,00; -2,00;I would try Brand 3;I would try Brand 2; 0; 2; 0; 0;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;7; 0,086063596;Learning_Inconsistent_First;-0,086063596; 0,086063596
151;24;F;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-3;-3;-3;-3;-1;-1;-1;-1; 0; 0; 0; 0; 1; 1; 1; 2;-3,00; 0,00;-1,00; 1,25; -3,00; -2,25;  3,00;  2,25;I would try Brand 3;I would try Brands 2 and 4; 3; 1; 3; 0;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all; 0,494344840;Learning_Consistent_First; 0,494344840;-0,494344840
154;19;M;Acquisition_Only;Explicits First;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0;-1;-1; 0; 1; 2; 1; 2; 1; 1; 1; 1; 2; 2; 2; 2;-0,50; 1,00; 1,50; 2,00; -1,50; -0,50; -1,50; -0,50;I would try Brand 3;I would try Brands 2 and 4;-3;-3;-3;-3;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt; 0,164601698;Learning_Inconsistent_First;-0,164601698;-0,164601698
157;24;F;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0;-1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 0; 1;-0,25; 1,00; 0,75; 0,50; -1,25;  0,25;  1,25; -0,25;I would try neither Brand;I would try Brands 2 and 4; 1; 1; 0; 1;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;6; 0,437963028;Learning_Consistent_First; 0,437963028;-0,437963028
158;24;F;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-2;-2;-2;-2; 2; 2; 2; 2; 0; 0; 0; 0; 0; 0; 0; 0;-2,00; 0,00; 2,00; 0,00; -2,00;  2,00;  2,00; -2,00;I would try Brand 3;I would try Brands 2 and 4; 3; 1; 0; 0;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;3; 0,011395222;Learning_Inconsistent_First;-0,011395222; 0,011395222
159;24;M;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-2;-2;-2;-2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;-2,00; 0,00; 0,00; 0,00; -2,00;  0,00;  2,00;  0,00;I would try Brand 3;I would try Brands 2 and 4; 1; 5; 5; 5;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt; 0,429195901;Learning_Consistent_First; 0,429195901;-0,429195901
159;24;M;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-2;-2;-2;-2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;-2,00; 0,00; 0,00; 0,00; -2,00;  0,00;  2,00;  0,00;I would try Brand 3;I would try Brands 2 and 4; 1; 5; 5; 5;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt; 0,429195901;Learning_Consistent_First; 0,429195901;-0,429195901
162;37;M;Acquisition_Only;Explicits First;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00;  0,00;  0,00;  0,00;I would try Brand 3;I would try Brand 4; 3; 3; 3; 3;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all; 0,644638528;Learning_Inconsistent_First;-0,644638528;-0,644638528
163;26;F;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 1; 3; 0; 3; 3; 1; 1; 1;-3;-3;-3;-1;-3; 0; 1; 1; 1,75;-2,50; 1,50;-0,25;  4,25;  1,75;  4,25;  1,75;I don't know;I don't know;-5;-5;-5;-5;What I learned during the experiment;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all; 0,345990643;Learning_Consistent_First; 0,345990643; 0,345990643
164;32;F;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 1; 1; 1; 1; 1; 1; 1; 1;-1;-2;-1;-1; 0; 0; 0; 0; 1,00;-1,25; 1,00; 0,00;  2,25;  1,00;  2,25;  1,00;I would try Brands 1 and 3;I would try Brands 2 and 4; 2; 2; 1;-1;What I learned during the experiment;Not Demand Compliant;yes;4; 0,141257443;Learning_Inconsistent_First;-0,141257443;-0,141257443
165;31;M;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-1;-2;-2;-1; 1; 1; 0; 1; 0; 0; 0; 0; 2; 2; 2; 2;-1,50; 0,00; 0,75; 2,00; -1,50; -1,25;  1,50;  1,25;I would try Brand 3;I would try Brand 4; 0; 5; 3; 5;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;-0,044491061;Learning_Consistent_First;-0,044491061; 0,044491061
168;19;M;Acquisition_Only;Implicits First;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00;  0,00;  0,00;  0,00;I would try Brand 3;I would try neither Brand; 5; 5; 5; 5;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;8; 1,131547851;Learning_Inconsistent_First;-1,131547851; 1,131547851
169;36;M;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 3; 3; 3; 3; 2; 2; 2; 2;-2;-2;-2;-2; 3; 3; 3; 3; 3,00;-2,00; 2,00; 3,00;  5,00; -1,00;  5,00; -1,00;I would try Brand 1;I would try Brand 4; 3; 4; 4; 3;What I learned during the experiment;Not Demand Compliant;yes;7; 0,174080832;Learning_Consistent_First; 0,174080832; 0,174080832
171;27;F;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00;  0,00;  0,00;  0,00;I would try Brand 3;I would try Brand 4; 5; 5; 5; 5;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all; 0,311018568;Learning_Consistent_First; 0,311018568; 0,311018568
174;24;M;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-3;-4;-3;-3; 1; 1;-1;-1; 3; 3; 2; 3;-2;-1;-3;-2;-3,25; 2,75; 0,00;-2,00; -6,00;  2,00;  6,00; -2,00;I would try Brand 3;I would try Brand 2; 0; 0; 3; 0;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;-0,153451324;Learning_Inconsistent_First; 0,153451324;-0,153451324
177;34;F;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 2; 1; 2; 0; 0; 0;-1;-1;-1;-1;-1;-1;-1;-1; 0; 1,25;-1,00;-0,25;-0,75;  2,25;  0,50;  2,25;  0,50;I would try Brand 1;I would try neither Brand; 5; 5; 5; 5;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt; 0,013059595;Learning_Consistent_First; 0,013059595; 0,013059595
181;35;F;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00;  0,00;  0,00;  0,00;I would try Brand 1;I would try Brand 2; 5; 5; 5; 5;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all; 0,671368776;Learning_Consistent_First; 0,671368776;-0,671368776
183;32;M;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 2; 3;-2; 3; 4; 3;-2; 1; 3; 3; 3; 3; 4; 3; 3; 3; 1,50; 3,00; 1,50; 3,25; -1,50; -1,75;  1,50;  1,75;I would try neither Brand;I would try neither Brand;-3;-2;-3;-4;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt; 0,302633290;Learning_Consistent_First; 0,302633290;-0,302633290
184;29;M;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 0; 0; 0; 0; 3; 3; 3; 3; 0; 0; 0; 0; 0,00; 3,00; 0,00; 0,00; -3,00;  0,00;  3,00;  0,00;I would try Brand 3;I would try Brand 4; 0; 0; 5; 0;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all; 0,341897791;Learning_Inconsistent_First;-0,341897791; 0,341897791
186;37;M;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 1; 1; 1; 1; 1; 1; 1; 1;-1;-1;-1;-1;-1;-1;-1;-1; 1,00;-1,00; 1,00;-1,00;  2,00;  2,00;  2,00;  2,00;I would try Brand 1;I would try Brand 2; 1; 1; 1; 1;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;-0,272086170;Learning_Inconsistent_First; 0,272086170; 0,272086170
187;36;M;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 1; 0; 1; 1;-3;-3;-4;-4; 1;-1;-1;-1; 3; 3; 4; 4; 0,75;-0,50;-3,50; 3,50;  1,25; -7,00;  1,25; -7,00;I would try neither Brand;I would try Brand 4; 3; 5;-1; 5;What I learned during the experiment;Not Demand Compliant;yes;2;-0,207510322;Learning_Consistent_First;-0,207510322;-0,207510322
188;18;M;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 4; 4; 4; 4; 5;-4;-4; 0;-4;-4;-4;-5; 3; 3; 4; 3; 4,00;-4,25;-0,75; 3,25;  8,25; -4,00;  8,25; -4,00;I would try Brand 1;I would try Brand 4; 5; 4; 0; 4;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt; 0,200091817;Learning_Inconsistent_First;-0,200091817;-0,200091817
189;23;F;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00;  0,00;  0,00;  0,00;I don't know;I would try Brand 2; 5; 5; 5; 5;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt; 0,465681491;Learning_Consistent_First; 0,465681491;-0,465681491
190;27;F;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00;  0,00;  0,00;  0,00;I don't know;I don't know; 5; 5; 5; 5;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;-0,259222918;Learning_Inconsistent_First; 0,259222918;-0,259222918
195;38;M;Acquisition_Only;Implicits First;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 2; 2; 2; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1,50; 0,50; 0,00; 0,00;  1,00;  0,00;  1,00;  0,00;I would try Brand 1;I would try Brand 2; 1;-1; 0; 0;What I learned during the experiment;Not Demand Compliant;yes;3; 0,107468464;Learning_Consistent_First; 0,107468464; 0,107468464
